,position_name,employer_name,area,experience,schedule,employment,professional_roles,salary,description,key_skills
0,Data Scientist Авито,Changellenge,Москва,От 1 года до 3 лет,Полный день,Полная занятость,Другое,"{'from': 255000, 'to': 490000, 'currency': 'RUR', 'gross': False}","<p>В наших командах разрабатывают эффективные технологии для команды и пользователей Авито. В первую очередь думаем о пользе клиента, а рост выручки обеспечиваем через продуктовое и технологическое развитие.</p> <p>Регистрируйтесь на<strong> Data Weekend Offer </strong>и получите оффер в Авито за одни выходные!</p> <p><strong>В зависимости от выбранной команды вы будете:</strong></p> <ul> <li> <p>создавать умные алгоритмы для автоматической проверки объявлений;</p> </li> <li> <p>разрабатывать алгоритмы, механизмы и ML-модели для монетизации;</p> </li> <li> <p>развивать поисковое ранжирование и писать микросервисы на Python и Go;</p> </li> <li> <p>обучать LLM и заниматься DS-задачами для разных команд Авито.</p> </li> </ul> <p><strong>Ждём в Авито, если вы:</strong></p> <ul> <li> <p>работаете в сфере Data Science от двух лет;</p> </li> <li> <p>владеете NLP и классическим ML;</p> </li> <li> <p>имеете опыт разработки, обучения и создания ML-моделей.</p> </li> </ul> <p><strong>Работа у нас — это:</strong></p> <ul> <li> <p>возможность улучшать опыт миллионов пользователей — сервисами Авито пользуется каждый третий житель России;</p> </li> <li> <p>интересные и сложные задачи на большом масштабе — вы сможете реализовывать алгоритмы с нуля и доводить их до прода;</p> </li> <li> <p>сильная команда, которая обожает опенсорс и всегда готова прийти на помощь;</p> </li> <li> <p>возможность изучать и пробовать новое, работать с реальными данными — мы предлагаем для этого мощное железо;</p> </li> <li> <p>бюджет на обучение, который можно тратить на курсы или профессиональную литературу;</p> </li> <li> <p>забота о здоровье: с первого дня у вас будет ДМС со стоматологией, в офисе принимают терапевт и массажист;</p> </li> <li> <p>возможность работать удалённо или из офисов в четырёх городах России.</p> </li> </ul> <p>Вакансия Data Scientist представлена в рамках программы Avito Data Weekend Offer 2024: https://clck.ru/3CzhKU</p>",[]
1,Data analyst,Публичная Компания «Freedom Finance Global PLC»,Алматы,От 1 года до 3 лет,Полный день,Полная занятость,"BI-аналитик, аналитик данных","{'from': 800000, 'to': 'null', 'currency': 'KZT', 'gross': False}","<p><strong>Обязанности</strong></p><ul><li>Извлечение данных из различных источников </li></ul><ul><li>Обработка и подготовка данных для анализа </li></ul><ul><li>Проведение глубокого анализа данных для выявления тенденций и инсайтов </li></ul><ul><li>Использование статистических методов для интерпретации данных. </li></ul><ul><li>Разработка визуализаций и дашбордов для представления данных в понятном формате </li></ul><ul><li>Подготовка регулярных отчетов для заинтересованных сторон. </li></ul><ul><li>Автоматизация отчетности и аналитических процессов для повышения эффективности </li></ul><ul><li>Предоставление аналитических рекомендаций для улучшения бизнес-процессов </li></ul><p><br /></p><p><strong>Требования</strong></p><p><strong>Образование</strong>:</p><ul><li>Степень в области информатики, статистики, экономики или смежных дисциплин.</li></ul><p><strong>Опыт работы</strong>:</p><ul><li>2-3 года опыта в области бизнес-аналитики или анализа данных.</li></ul><p><strong> Технические навыки:</strong></p><ul><li>Уверенное владение SQL для создания сложных запросов и оптимизации процессов;</li><li>Опыт работы с большими наборами данных;</li><li>Опыт работы с инструментами визуализации данных (PowerBI, QlikSense).</li></ul><p><strong>Аналитические и профессиональные навыки:</strong></p><ul><li>Умение применять базовые статистические методы и проводить анализ данных;</li><li>Понимание бизнес-процессов и способности анализировать их для оптимизации и принятия решений;</li><li>Способность представлять результаты анализа и визуализации понятным и доступным языком для заинтересованных сторон;</li></ul><p>· Умение работать в команде, критическое мышление и проактивный подход к решению задач.</p><p><br /></p><p><strong>Условия</strong></p>",[]
2,Data Engineer/Data Analyst,IMANTECH,Ташкент,Нет опыта,Гибкий график,Полная занятость,"BI-аналитик, аналитик данных",null,"<p><strong>About Us:</strong> Welcome to <strong>“IMAN TECH”,</strong> where innovation meets data excellence. We are a cutting-edge technology company dedicated to transforming the way businesses interact with and leverage their data. Our mission is to empower organizations by providing groundbreaking solutions that turn complex data into clear, actionable insights.</p> <p> </p> <p><strong>Job Summary: The Data Analyst/Data Engineer </strong>will play a dual role in our organization, focusing on both data analysis and data engineering tasks. The role involves designing and maintaining data pipelines, ensuring data quality, and analyzing complex datasets to generate actionable insights. The ideal candidate will have a strong appetite for learning, with a passion for both data engineering practices and data analysis. We offer numerous learning opportunities and support for obtaining relevant certifications to help you advance your career.</p> <p> </p> <p><strong>Key Responsibilities:</strong></p> <p> </p> <p><strong>Data Engineering</strong>:</p> <p>Design, build, and maintain scalable data pipelines to extract, transform, and load (ETL) data from various sources.</p> <p> </p> <p>Develop and optimize data models, databases, and data warehouses to support efficient data storage and retrieval.</p> <p> </p> <p>Ensure data quality and integrity by implementing data validation and cleansing processes.</p> <p> </p> <p>Collaborate with data scientists and engineers to integrate data systems and platforms.</p> <p> </p> <p>Monitor and troubleshoot data pipeline performance and resolve issues as they arise.</p> <p> </p> <p>Stay updated with industry best practices and emerging technologies in data engineering.</p> <p> </p> <p><strong>Data Analysis</strong>:</p> <p>Collect, process, and analyze large datasets to uncover trends, patterns, and insights.</p> <p> </p> <p>Create and maintain dashboards, reports, and visualizations to communicate findings to stakeholders.</p> <p> </p> <p>Work with business units to understand their data needs and deliver actionable recommendations.</p> <p> </p> <p>Conduct exploratory data analysis and statistical analysis to support decision-making.</p> <p> </p> <p>Develop and implement data models and algorithms to address business challenges.</p> <p> </p> <p>Present data findings and insights to non-technical audiences in a clear and actionable manner.</p> <p> </p> <p><strong>Qualifications</strong>:</p> <p>Must be over 18 years of age.</p> <p> </p> <p>Fluency in the English language is required.</p> <p> </p> <p>Proven experience in data analysis and data engineering, with a portfolio of data-driven projects.</p> <p> </p> <p>Proficiency in data engineering tools and languages, such as SQL, Python, or Scala.</p> <p> </p> <p>Experience or familiarity with data processing frameworks (e.g., Apache Spark) and ETL tools.</p> <p> </p> <p>Strong knowledge of data visualization tools like Tableau, Power BI, or similar.</p> <p> </p> <p>Familiarity with cloud-based data platforms (e.g., AWS, Azure, Google Cloud).</p> <p> </p> <p>Familiarity with Databricks, AWS data stack or Azure data stack.</p> <p> </p> <p>Excellent problem-solving skills and the ability to work with complex datasets.</p> <p> </p> <p>Strong communication skills, with the ability to present technical information to non-technical stakeholders.</p> <p> </p> <p>Attention to detail and a collaborative mindset.</p> <p> </p> <p><strong>Preferred Qualifications</strong>:</p> <p>Advanced degree in a relevant field.</p> <p> </p> <p>Experience with machine learning and predictive modeling.</p> <p> </p> <p>Knowledge of business intelligence (BI) best practices and methodologies.</p> <p> </p> <p>Certification in data engineering or data analysis.</p> <p> </p> <h2><strong>Benefits:</strong></h2> <p>Competitive salary and performance-based bonuses.</p> <p> </p> <p>Opportunities for professional development, including numerous learning opportunities and support for obtaining relevant certifications.</p> <p> </p> <p>Flexible working hours and remote work options.</p> <p> </p> <p><strong>Salary</strong>: To be discussed during the interview process, based on experience and qualifications.</p> <p> </p> <p><strong>How to Apply</strong>: Please submit your resume and link to your LinkedIn profile.</p> <p> </p> <p><strong>Additional Information</strong>: Any other questions or specific terms regarding the role will be addressed during the interview process.</p>","['SQL', 'Визуализация данных', 'Python', 'Power BI', 'Apache Spark', 'Tableau', 'AWS', 'Azure', 'Google Cloud', 'Databricks', 'Business intelligence']"
3,Стажер в направление Big Data,T2,Москва,Нет опыта,Полный день,Полная занятость,"BI-аналитик, аналитик данных",null,"<strong>Что нужно делать:</strong> <ul> <li>Составлять базовые запросы SQL.</li> <li>Собирать и анализировать бизнес-требования. </li> <li>Собирать и обрабатывать данные из различных источников. </li> <li>Участвовать в автоматизации рутинных задач и процессов. </li> </ul> <strong>Для нас важно:</strong> <ul> <li>Начальный уровень Python и стремление улучшить свои знания.</li> <li>Базовый уровень SQL (умение писать простые запросы). </li> <li>Уверенное знание Excel. </li> <li>Обучающиеся на последних курсах вуза или выпускники. </li> </ul> <strong>Что вас ждет:</strong> <ul> <li>Оформление по ТК РФ.</li> <li>Расширенный ДМС, страхование от несчастных случаев и страхование жизни сразу после трудоустройства.</li> <li>Корпоративная мобильная связь.</li> <li>Гибридный график работы после испытательного срока по согласованию с руководителем.</li> <li>Возможность получить помощь опытных психологов, финансистов и юристов по важным жизненным вопросам.</li> <li>Материальная помощь при рождении ребенка, вступлении в брак и т. п.</li> <li>Возможность выбирать льготы, которые действительно нужны: уровень ДМС, компенсация занятий спортом, массаж, чекап здоровья, изучение иностранных языков и многое другое после трёх месяцев работы.</li> <li>Широкие возможности для обучения, в том числе возможность изучить новые навыки и технологии вместе с лучшими провайдерами профессионального образования.</li> </ul>",[]
4,Data Marketing Manager / Маркетолог по анализу данных о потребителях,Procter & Gamble,Алматы,От 1 года до 3 лет,Полный день,Полная занятость,Другое,"{'from': 950000, 'to': 'null', 'currency': 'KZT', 'gross': True}","<p><strong>Найм в ТОО «Проктер энд Гэмбл Казахстан Дистрибьюшн»</strong><br /><br />Working in Brand Management at Procter &amp; Gamble means being more than just a marketer, it means being a total business owner. We are looking for individuals enthusiastic about driving constructive disruption through empowered, agile and accountable leadership.</p> <p>As a <strong>Data Marketing Manager</strong>, you will develop and implement data acquisition strategies that resonate with our target audience.</p> <p><strong>Core Responsibilities</strong></p> <ul> <li> <p>Plan &amp; Implement Data acquisition strategies and tactics across different channels: Social networks, Media, In-store etc.;</p> </li> <li> <p>Ensure Data metrics fulfillment on a monthly, quarterly and yearly basis;</p> </li> <li> <p>Analyze, propose and implement interventions to improve Data acquisition flow and program visibility to our target audience;</p> </li> <li> <p>Maintain excellence across all projects, especially in the field of compliance with internal/corporate and external regulations, financial accuracy, documentation in line with legislation and P&amp;G guidelines</p> </li> <li> <p>Project performance analysis and recommendations on investment choices;</p> </li> <li> <p>Collaborate with various stakeholders on delivering new pilots and base business projects;</p> </li> <li> <p>Supervise agency and mutifunctional team.</p> </li> </ul> <p><strong>Compensation &amp; Benefits</strong><br /><em>Financial benefits</em></p> <ul> <li> <p>Monthly salary starting from 950 000 KZT gross</p> </li> <li> <p>Medical, travel, and life insurance</p> </li> <li> <p>Monthly lunch &amp; flexibility allowance 35 000 KZT net</p> </li> <li> <p>Possibility of enrollment in the P&amp;G International Stock Ownership Plan</p> </li> <li> <p>Sick and maternity/paternity leaves paid up to the full salary</p> </li> <li> <p>Corporate discounts</p> </li> <li> <p>Monetary incentives for long-/short-term achievements</p> </li> </ul> <p><em>Non-financial benefits</em></p> <ul> <li> <p>Flexible working hours: the opportunity to shift the start of the workday to the time aligned with your manager</p> </li> <li> <p>Hybrid WFO/WFH schedule</p> </li> <li> <p>Access to P&amp;G’s global comprehensive training portfolio</p> </li> <li> <p>And many more</p> </li> </ul> <p><strong>Job Qualifications</strong></p> <ul> <li> <p><strong>1-3 years of professional experience in Digital marketing/Data acquisition with a deep Kazakhstan consumer and marketing landscape understanding </strong>&amp; work experience in an international FMCG company/agency</p> </li> <li> <p>Proven record in creating and/or leading Digital/Data projects</p> </li> <li> <p>Strong analytical skills and ability to gain actionable insights from data</p> </li> <li> <p>Discipline in excellent plan execution</p> </li> <li> <p>Ability to conduct business and communicate in English (Upper-Intermediate or higher level)</p> </li> <li> <p>Higher education degree</p> </li> </ul> <p><strong>Just so you know:</strong></p> <ul> <li> <p>All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor;</p> </li> <li> <p>No immigration sponsorship is available for this position.</p> </li> </ul> <p>P&amp;G is a leading global consumer goods company whose winning brands are built around the model of innovation. Whatever your passion is, we want to ignite your potential to become your very best self. We hold true to our purpose, values and principles as we seek to make a difference in the world around us. You will engage in meaningful work that will touch the lives of others and have a real impact. Everything at P&amp;G starts with understanding - understanding our consumers and our employees as we innovate to improve lives now and for generations to come.</p>","['Английский язык', 'Аналитический склад ума']"
5,Data Scientist,China Good Car,Алматы,От 1 года до 3 лет,Полный день,Полная занятость,Дата-сайентист,"{'from': 450000, 'to': 'null', 'currency': 'KZT', 'gross': True}","<strong>Обязанности:</strong> <p>- Проектирование AI-систем для автоматизации бизнес-процессов с целью повышения операционной эффективности;</p> <p>- Создание и оптимизация алгоритмов машинного обучения и NLP для текстовых и голосовых ботов;</p> <p>- Разработка и поддержка чат-ботов для клиентов из различных отраслей;</p> <p>- Взаимодействие с клиентами для понимания их потребностей и интеграция AI-решений в их рабочие процессы.</p> <p>- Мониторинг и улучшение производительности разработанных систем на основе обратной связи.</p> <strong>Требования:</strong> <p>- Высшее образование в области информационных технологий, математики, компьютерных наук или аналогичной дисциплины;</p> <p>- Глубокие знания и опыт работы с машинным обучением, NLP и разработкой AI-систем;</p> <p>- Владение Python и библиотеками машинного обучения: TensorFlow, PyTorch, Keras;</p> <p>- Опыт работы с Docker, Airflow, Git, распределенными системами данных (Hadoop, PySpark);</p> <p>- Креативное мышление и способность решать сложные задачи.</p> <strong>Условия:</strong> <p>- Комфортный офис с удобным расположением;</p> <p>- Отсутствие строгого дресс-кода;</p> <p>- Заработная плата 450,000 KZT + бонусы, зависящие от выполнения проектных целей;</p> <p>- График работы 5/2, с 09:00 до 18:00;</p> <p>- Возможности для профессионального и карьерного роста;</p> <p>- Гибкий подход к управлению: каждый сотрудник может предлагать идеи и участвовать в их реализации;</p> <p>- Содействие инновационным и креативным решениям в команде.</p>","['Python', 'Обработка естественного языка (NLP)', 'TensorFlow', 'PyTorch', 'Keras', 'Docker', 'Apache Airflow', 'Git', 'Hadoop', 'PySpark', 'Разработка чат-ботов', 'Проектирование AI-систем', 'Креативное мышление', 'Решение сложных задач', 'Классическое машинное обучение']"
6,Стажер Data Scientist,WILDBERRIES,Москва,Нет опыта,Полный день,Стажировка,Дата-сайентист,null,"<p>Начни свою карьеру в Wildberries!</p> <p>Мы — команда математиков-датасаентистов в крупнейшем маркетплейсе с миллионами пользователей, хайлоадом и бигдатой. Нас знают все.</p> <p>Приглашаем начинающих математиков и специалистов в области Data Science для решения настоящих прикладных задач в области анализа текста, поиска аномалий, построения рекомендательных и поисковых систем.</p> <p>Тебе предстоит пройти трехмесячное обучение на реальных кейсах Wildberries. Ты будешь решать задачи, с которыми регулярно сталкиваются специалисты Wildberries и презентовать свои решения опытным менторам.</p> <p>И если ты справишься с поставленными задачами - мы предложим тебе хорошо оплачиваемую стажировку в наших командах.</p> <p><strong>Ключевые навыки:</strong></p> <ul> <li> <p>знание математических дисциплин: линейная алгебра, математический анализ, теория вероятностей, математическая статистика;</p> </li> <li> <p>Python: pandas, numpy, sklearn, pytorch, pyspark;</p> </li> <li> <p>знание основных алгоритмов ML/DL и опыт их применения.</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>базовый SQL;</p> </li> <li> <p>знание основ Go;</p> </li> <li> <p>собственные pet-проекты;</p> </li> <li> <p>опыт участия в соревнования и хакатонах.</p> </li> </ul> <p><strong>Предлагаем:</strong></p> <ul> <li> <p>обучение/стажировку на реальных кейсах;</p> </li> <li> <p>интересные нестандартные задачи в топовом маркетплейсе;</p> </li> <li> <p>команду увлеченных специалистов;</p> </li> <li> <p>свободу творчества и рост.</p> </li> </ul> <p> </p>",[]
7,Стажер - Data Scientist,Эр-1,Пермь,Нет опыта,Удаленная работа,Стажировка,Дата-сайентист,null,"<p><strong>R1</strong> — это новый взгляд на пространство, в котором живет человек. Наша команда убеждена, что технологии способны сделать дом многофункциональным, удобным и универсальным как для семейных вечеров, так и для работы днем. Наша миссия — делать технологии понятными и доступными, чтобы каждый человек мог качественно улучшить свою жизнь, сделать собственный дом своим местом силы.</p> <p>Среди наших проектов развлекательная smart-платформа Movix, устройства и приложения для «умного дома», e-commerce и др. Мы также уделяем большое внимание развитию и обслуживанию наших проектов, создавая и тестируя новые продукты в технической лаборатории Movix Lab, и вместе с командой CTO Office, которая занимается разработкой инфраструктурных сервисов всей компании.</p> <p>Мы запустили уникальный проект по рестарту функции клиентоцентричных продаж в базу и максимизации ценности клиента (CVM). <strong>Цель проекта - создание системы для предложения клиентам нужных продуктов в правильное время с удобным клиентским опытом.</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Повышение качества скоринговых моделей</p> </li> <li> <p>Разработка подходов по усорению решения задачи по целочисленному линейному программированию</p> </li> <li> <p>Прогноз Лайфтайма клиента</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Python</p> </li> <li> <p>SQL</p> </li> <li> <p>Базовые знания по ML (классификация, регрессия)</p> </li> <li> <p>PySpark (желательно)</p> </li> <li> <p>методы математической оптимизации (желательно)</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Возможность присоединиться к профессиональной, высокомотивированной и результативной команде;</li> <li>Срочный трудовой договор (оформление по ТК РФ), полностью белая з/п;</li> <li>Гибкий график работы, возможен полностью удаленный формат и совмещение с учебой;</li> <li>Перспективы карьерного роста по результатам стажировки.</li> </ul>",[]
8,Аналитик данных/ data analyst,Skillzania,Москва,От 1 года до 3 лет,Удаленная работа,Полная занятость,"BI-аналитик, аналитик данных","{'from': 80000, 'to': 'null', 'currency': 'RUR', 'gross': True}","<p><strong>Группа компаний SKILLZANIA это:<br />- онлайн Учебный центр для педагогов<br />- онлайн Школа интеллектуального развития детей<br />- офлайн Центр развития детей.</strong></p> <p>⭐️ Обучение по всему миру<br />⭐️ Обучаем детей по востребованным направлениям. Наши курсы имеют доказанную эффективность в виде сотен положительных отзывов, а также дипломов победителей олимпиад.<br />⭐️Образовательная лицензия<br />⭐️Для педагогов мы предлагаем не имеющий аналогов на рынке продукт.<br /><br /><em><strong>Сейчас мы масштабируемся и ищем в команду опытного и целеустремленного сотрудника, который будет играть ключевую роль в построении системы продуктовой и маркетинговой аналитики Группы SKILLZANIA , </strong>и сможет дать дополнительный импульс развитию наших школ.</em></p> <strong>Обязанности:</strong> <ul> <li>Анализ и оптимизация рекламных кампаний через следующие сервисы: Яндекс Метрика (Постклик на сайтах, вебвизор), Looker студия данных (Дашборды, анализ данных), Яндекс Data Lens (Дашборды), GA4 (Постклик на сайтах, дашборды), Power BI (Дашборды, соединение данных из нескольких источников, визуализация данных большого объёма), Google Tag Manager (Настройка аналитики для проектов);</li> <li>Веб-аналитика, работа над увеличением конверсии сайтов и эффективности рекламы;</li> <li>Сбор, сегментирование и фильтрация семантического ядра;</li> <li>Ведение аналитической работы: подготовка отчетности по CPO, CPL, ROI; оценка эффективности рекламных каналов;</li> <li>Установка счётчиков Яндекс Метрики, Google Analytics (GA4), пикселей VK рекламы</li> <li>Настройка событий и целей, настройка тегов, триггеров и переменных;</li> <li>Сбор данных с различных источников и их объединение;</li> <li>Анализ данных, поиск инсайтов на основе данных;</li> <li>Выгрузка данных по продажам из amoCRM и группировка в отчет;</li> <li>Выгрузка данных по LTV и показателей продуктов из AlfaCRM</li> <li>Построение/поддержание аналитических дашбордов по продуктам.</li> <li>Проводить A/B-тесты, от проектирования дизайна эксперимента до оценки результатов.</li> <li>Помогать продуктовой команде с поиском ответов на их вопросы.</li> <li>Изучать поведение пользователей в онлайн-платформах, искать проблемные места, предлагать пути их улучшения.</li> </ul> <strong>Требования:</strong> <ul> <li>Кандидатауровня middle / middle +.</li> <li>Опыт работы от 2 лет.</li> <li>Умение работать в BI инструментах (Tableau / Looker Studio / PowerBI или аналогах).</li> <li>Знание SQL, Python / R.</li> <li>Владеете аналитическими инструментами Google Analytics, Yandex Metrika, Looker студия данных, Яндекс Data Lens, GA4, Google Tag Manager; Продвинутый уровень владения Excel, Google Таблиц;</li> <li>Есть опыт проведения А/В тестов;</li> <li>Активная жизненная позиция, любовь к цифрам, скорость и качество выполнения работы, ориентация на результат;</li> <li>Высшее образование математическое/техническое;</li> <li>Понимание каналов интернет продвижения и метрик их оценки;</li> <li>Опыт внедрения и понимание сквозной аналитики;</li> <li>Опыт работы с дашбордами;</li> <li>Можете легко построить любой отчет;</li> <li>Имеете гибкое мышление, аналитический склад ума, самостоятельны в принятии решений; готовы к решению сложных, интересных и трудоемких задач.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li> <p>Удаленный формат работы;</p> </li> <li> <p>амбициозную команду, ﻿возможность учиться и развиваться в белой нише индустрии образования;</p> </li> <li> <p>Интересные и амбициозные задачи, сильные продукты;</p> </li> <li>Официальный доход</li> <li>Дети сотрудников, а также братья и сестры могут обучаться в Школе с корпоративной скидкой 50%<br /><br />❗️В отклике напишите, пожалуйста, о Ваших релевантных кейсах.</li> </ul>",[]
9,Аналитик данных/ Data analyst,Bereke Bank,Алматы,От 1 года до 3 лет,Полный день,Полная занятость,"BI-аналитик, аналитик данных",null,"<strong>Обязанности:</strong> <ul> <li>Поддерживать один из стримов digital привлечения команды, ведение отчетности, работа с внешними аналитическими инструментами, работа с несколькими базами данных, написание кода на python/sql.</li> <li>SQL/Python, плюсом будет считаться умение работать с AppsFlyer, Google Analytics 4, Google Tag Manager, Firebase, Amplitude.</li> </ul> <strong>Условия:</strong> <ul> <li><strong>Официальное трудоустройство согласно ТК РК.</strong></li> <li>Один из лучших социальных пакетов для сотрудников Банка (ДМС, материальная помощь и социальная поддержка, медицинское сопровождение и пр.)</li> <li>Годовые бонусы в зависимости от выполненных целей банка.</li> <li>Современный офис в центре города.</li> <li>Регулярное корпоративное обучение.</li> <li>Поддержку дружной команды и руководства на всех уровнях.</li> </ul>",[]
